"Data","Temp. Ins. (C)","Temp. Max. (C)","Temp. Min. (C)","Umi. Ins. (%)","Umi. Max. (%)","Umi. Min. (%)","Pto Orvalho Ins. (C)","Pto Orvalho Max. (C)","Pto Orvalho Min. (C)","Pressao Ins. (hPa)","Pressao Max. (hPa)","Pressao Min. (hPa)","Vel. Vento (m/s)","Dir. Vento (m/s)","Raj. Vento (m/s)","Radiacao (KJ/m2)","Chuva (mm)","p_rt1","p_inc100k","Nivel","Rt","Receptivo (Bool)","Nivel Inc.","Casos"
"2018-05-31",18.05,18.54,17.6,82.31,84.61,79.98,14.71,15.11,14.35,1012.69,1012.92,1012.47,1.39,164.61,4.14,895.73,91.8,0.41,0.25,1,0.84,0,0.5,15
"2018-06-30",13.28,13.75,12.84,86.15,88.16,83.98,10.8,11.19,10.45,1013.75,1014.04,1013.45,1.3,207.15,4.03,720.25,145.2,0.42,0.08,1,1.25,0,0,5
"2018-07-31",14.52,14.92,14.14,87.67,89.48,85.88,12.29,12.64,11.99,1013.72,1014,1013.43,1.53,170.24,5,660.22,167.6,0.46,0.15,1,1.77,0,0,11
"2018-08-31",14.08,14.6,13.59,82.36,84.75,79.82,10.77,11.22,10.35,1014.39,1014.68,1014.11,1.68,176.92,4.98,1004.93,147.2,0.31,0.12,1,0.67,0,0,7
"2018-09-30",19.11,19.57,18.66,83.8,86.02,81.6,16.01,16.41,15.65,1009.89,1010.21,1009.56,1.89,137.24,5.67,1090.15,147,0.62,0.16,1,1.74,0.2,0.2,12
"2018-10-31",20.03,20.6,19.49,77.69,80.56,75,15.68,16.22,15.24,1009.42,1009.72,1009.1,1.89,144.38,5.54,1363.67,91.6,0.62,0.35,1,1.23,0,0.5,21
"2018-11-30",22.58,23.2,22.01,74.61,77.65,71.46,17.38,17.95,16.84,1007.57,1007.86,1007.29,1.85,148.69,5.48,1630.34,129.2,0.2,0.12,1,0.52,0.5,0,7
"2018-12-31",24.09,24.72,23.47,73.33,76.33,70.32,18.51,19.07,17.98,1006.91,1007.2,1006.63,1.82,166.94,5.44,1640.5,61.4,0.63,0.2,1.4,1.71,0.8,0.2,15
"2019-01-31",26.66,27.24,26.12,77.85,80.56,75.15,22.1,22.58,21.68,1006.89,1007.16,1006.61,1.8,167.88,5.51,1383.45,117.6,0.38,0.25,2,0.8,1,0.25,15
"2019-02-28",24.58,25.19,24,76.44,79.57,73.45,19.72,20.31,19.23,1007.15,1007.42,1006.88,1.65,159.3,5.04,1480.37,95.8,0.64,0.34,2,1.44,1,0.75,20
"2019-03-31",22.99,23.57,22.45,78.65,81.32,75.93,18.76,19.23,18.33,1009.74,1009.97,1009.51,1.59,164.78,4.91,1369.78,80.2,0.94,1.83,2.8,2.06,0.8,1.6,136
"2019-04-30",21.8,22.27,21.37,85.52,87.59,83.34,19.04,19.41,18.7,1009.1,1009.34,1008.85,1.37,160.78,4.42,1011.26,238,0.97,5.69,4,1.5,0.5,2,339
"2019-05-31",19.06,19.47,18.69,90.15,91.94,88.28,17.27,17.61,16.98,1010.67,1010.94,1010.38,1.26,150.62,4.32,714.45,250.6,0.59,7.19,4,1.05,0.25,2,428
"2019-06-30",18.47,19.02,17.94,79.23,81.79,76.66,14.46,14.9,14.05,1012.51,1012.75,1012.27,1.17,163.39,3.5,844.02,67.8,0.05,3.16,4,0.67,0,2,235
"2019-07-31",13.65,14.15,13.17,80.61,82.84,78.31,10.06,10.46,9.68,1014.1,1014.4,1013.81,1.27,179.76,3.95,797.07,134.2,0.17,0.77,1.75,0.6,0,1,46
"2019-08-31",15.57,16.17,15.02,74.54,77.25,71.89,10.63,11.12,10.2,1015.76,1016.1,1015.45,1.4,162.32,4.54,1132.33,79.4,0.24,0.49,1,0.71,0,0.75,29
"2019-09-30",16.91,17.47,16.39,76.06,78.61,73.47,12.23,12.76,11.74,1011.86,1012.22,1011.52,1.45,147.96,4.68,1191.06,90.8,0.56,0.39,1,1.17,0.2,0.6,29
"2019-10-31",20.59,21.11,20.12,78.76,81.17,76.27,16.2,16.68,15.78,1009.04,1009.42,1008.64,1.65,150.99,5.48,1104.72,277,0.32,0.25,1,0.76,0.5,0,15
"2019-11-30",22.24,22.81,21.68,73.57,76.52,70.68,16.8,17.43,16.24,1007.17,1007.45,1006.9,1.58,137.71,5.2,1556.06,91.2,0.64,0.45,1.5,1.35,0.75,0.75,27
"2019-12-31",24.93,25.66,24.22,61.31,64.66,57.98,16.16,16.93,15.42,1005.76,1006.03,1005.51,1.71,163.04,5.52,1868.12,20.2,0.42,0.51,1.6,0.99,1,0.8,38
"2020-01-31",25.32,26.02,24.67,70.41,73.43,67.42,19.08,19.63,18.54,1005.53,1005.77,1005.27,1.75,163.06,5.54,1585.66,81.6,0.63,0.79,2,1.26,1,1,47
